ID,Place_Name,type,City,Budget_Level,Age_Group,Trip_Type,Description,Latitude,Longitude,Coordinate_Source,Geocode_Status,Estimated_Cost_ILS,Place_Name_AR,Description_AR,Description_EN
67,Khan Al-Wakalah,Historic Old City,Nablus,Low,All,Cultural,"Khan Al-Wakalah is a historic Ottoman-era caravanserai in Nablus's Old City, once used to house traveling merchants and their goods.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,5,خان الوكالة,"خان الوكالة خان تاريخي من العصر العثماني في البلدة القديمة بنابلس، استُخدم لإيواء التجار المسافرين وبضائعهم.","Khan Al-Wakalah is a historic Ottoman-era caravanserai in Nablus's Old City, once used to house traveling merchants and their goods."
68,The Old Rafidia Mosque,Religious,Nablus,Medium,All,Religious,The Old Rafidia Mosque is a historic mosque in the Rafidia quarter of Nablus.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,60,مسجد رفيديا القديم,مسجد رفيديا القديم مسجد تاريخي في حي رفيديا بنابلس.,The Old Rafidia Mosque is a historic mosque in the Rafidia quarter of Nablus.
69,Jacob's Well Church,Religious,Nablus,Medium,All,Religious,"Jacob's Well Church, near Nablus, is a Greek Orthodox church built over the biblical well traditionally identified as the site where Jesus spoke with the Samaritan woman.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,30,كنيسة بئر يعقوب,كنيسة بئر يعقوب قرب نابلس كنيسة أرثوذكسية بُنيت فوق البئر التوراتي الذي يُعتقد أن المسيح تحدث فيه مع المرأة السامرية.,"Jacob's Well Church, near Nablus, is a Greek Orthodox church built over the biblical well traditionally identified as the site where Jesus spoke with the Samaritan woman."
70,Jupiter temple on Tel Al-Ras,Archaeological,Nablus,Medium,Youth,Adventure,"The Jupiter Temple on Tel al-Ras, near Nablus, contains the remains of a Roman-period temple dedicated to Jupiter, built atop the sacred summit of Mount Gerizim.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,35,معبد المشتري في تل الراس,"يحتوي معبد المشتري في تل الراس قرب نابلس على بقايا معبد روماني مخصص للإله المشتري، بُني فوق قمة جبل جرزيم المقدسة.","The Jupiter Temple on Tel al-Ras, near Nablus, contains the remains of a Roman-period temple dedicated to Jupiter, built atop the sacred summit of Mount Gerizim."
71,Al-Khadra Mosque or Hizn Sidna Yaq'ub Mosque,Religious,Nablus,Medium,All,Religious,Al-Khadra Mosque (Hizn Sidna Yaq'ub Mosque) in Nablus is associated with the tradition of the patriarch Jacob's grief.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,30,المسجد الأخضر أو مسجد حزن سيدنا يعقوب,يرتبط المسجد الأخضر (مسجد حزن سيدنا يعقوب) في نابلس بتقليد حزن النبي يعقوب.,Al-Khadra Mosque (Hizn Sidna Yaq'ub Mosque) in Nablus is associated with the tradition of the patriarch Jacob's grief.
72,"Shechem - The Canaanite City, Tel - Balata",Archaeological,Nablus,Low,Youth,Adventure,"Tel Balata (ancient Shechem) is a major archaeological site near Nablus, the remains of a Canaanite city dating back nearly 4,000 years and mentioned repeatedly in biblical texts.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,20,"شكيم - المدينة الكنعانية، تل بلاطة","تل بلاطة (شكيم القديمة) موقع أثري رئيسي قرب نابلس، ويضم بقايا مدينة كنعانية يعود تاريخها لنحو 4000 عام، وورد ذكرها مراراً في النصوص التوراتية.","Tel Balata (ancient Shechem) is a major archaeological site near Nablus, the remains of a Canaanite city dating back nearly 4,000 years and mentioned repeatedly in biblical texts."
73,The Western Roman Cemetery,Archaeological,Nablus,Medium,Youth,Adventure,"The Western Roman Cemetery, near Nablus, contains ancient burial remains from the Roman period.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,40,المقبرة الرومانية الغربية,تحتوي المقبرة الرومانية الغربية قرب نابلس على بقايا دفن قديمة من العصر الروماني.,"The Western Roman Cemetery, near Nablus, contains ancient burial remains from the Roman period."
74,The Roman Theater,Archaeological,Nablus,Medium,Youth,Adventure,"The Roman Theater, near Nablus, contains remains of an ancient Roman-period theater.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,50,المسرح الروماني,يحتوي المسرح الروماني قرب نابلس على بقايا مسرح من العصر الروماني.,"The Roman Theater, near Nablus, contains remains of an ancient Roman-period theater."
75,Great Mosque of Nablus - Al-Salahi Mosque,Religious,Nablus,Medium,All,Religious,"The Great Mosque of Nablus (Al-Salahi Mosque) is one of the city's principal historic mosques, with origins tracing back to a Byzantine-era church later converted into a mosque.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,40,الجامع الكبير في نابلس - المسجد الصلاحي,"الجامع الكبير في نابلس (المسجد الصلاحي) أحد أبرز المساجد التاريخية في المدينة، ويعود أصله إلى كنيسة بيزنطية تحولت لاحقاً إلى مسجد.","The Great Mosque of Nablus (Al-Salahi Mosque) is one of the city's principal historic mosques, with origins tracing back to a Byzantine-era church later converted into a mosque."
76,The Roman Colonnaded Street,Archaeological,Nablus,Low,Youth,Adventure,The Roman Colonnaded Street (Nablus) contains remains of an ancient Roman-era thoroughfare lined with columns.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,0,الشارع الروماني ذو الأعمدة,يحتوي الشارع الروماني ذو الأعمدة (نابلس) على بقايا طريق روماني قديم مصطف بالأعمدة.,The Roman Colonnaded Street (Nablus) contains remains of an ancient Roman-era thoroughfare lined with columns.
77,The Latin Church,Religious,Nablus,Medium,All,Religious,"The Latin Church, in Nablus, is a historic Roman Catholic church serving the city's Christian community.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,45,الكنيسة اللاتينية,الكنيسة اللاتينية في نابلس كنيسة كاثوليكية تاريخية تخدم الجالية المسيحية في المدينة.,"The Latin Church, in Nablus, is a historic Roman Catholic church serving the city's Christian community."
78,An-Nasr Mosque,Religious,Nablus,Medium,All,Religious,An-Nasr Mosque is a historic mosque in Nablus.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,25,مسجد النصر,مسجد النصر مسجد تاريخي في نابلس.,An-Nasr Mosque is a historic mosque in Nablus.
79,The Manara Clock Tower and Bab Al-Saha (Quarter of Nablus),Historic Old City,Nablus,Medium,All,Cultural,"The Manara Clock Tower and Bab Al-Saha mark a historic landmark and gateway quarter in Nablus's Old City, the clock tower built in the early 20th century under Ottoman rule.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,45,برج ساعة المنارة وباب الساحة (حي نابلس),"يمثل برج ساعة المنارة وباب الساحة معلماً تاريخياً وبوابة حي في البلدة القديمة بنابلس، وبُني برج الساعة أوائل القرن العشرين في ظل الحكم العثماني.","The Manara Clock Tower and Bab Al-Saha mark a historic landmark and gateway quarter in Nablus's Old City, the clock tower built in the early 20th century under Ottoman rule."
80,Ras Al-Ein,Historic Old City,Nablus,Low,All,Cultural,"Ras Al-Ein, in Nablus, is a historic spring and water source that has served the city for centuries.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,15,رأس العين,رأس العين في نابلس نبع ومصدر مياه تاريخي خدم المدينة على مر القرون.,"Ras Al-Ein, in Nablus, is a historic spring and water source that has served the city for centuries."
81,Abd Al-Hadi Palace,Historic Old City,Nablus,Medium,Family,Cultural,"Abd Al-Hadi Palace, in Nablus, is a historic Ottoman-era residence built by the prominent Abd al-Hadi family.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,25,قصر عبد الهادي,قصر عبد الهادي في نابلس مسكن تاريخي من العصر العثماني بنته عائلة عبد الهادي البارزة.,"Abd Al-Hadi Palace, in Nablus, is a historic Ottoman-era residence built by the prominent Abd al-Hadi family."
82,Tel Sufar - Sufan,Archaeological,Nablus,Low,Youth,Adventure,Tel Sufar (Sufan) is an archaeological mound (tell) near Nablus.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,5,تل صوفر - صوفان,تل صوفر (صوفان) تل أثري قرب نابلس.,Tel Sufar (Sufan) is an archaeological mound (tell) near Nablus.
83,The Old Town of Nablus,Historic Old City,Nablus,Low,All,Cultural,"The Old Town of Nablus is a historic quarter known for its Ottoman-era architecture, narrow alleyways, traditional soap factories, and famous kunafa sweets shops.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,20,البلدة القديمة في نابلس,تشتهر البلدة القديمة في نابلس بعمارتها العثمانية وأزقتها الضيقة ومصابن الزيتون التقليدية ومحلات الكنافة الشهيرة.,"The Old Town of Nablus is a historic quarter known for its Ottoman-era architecture, narrow alleyways, traditional soap factories, and famous kunafa sweets shops."
84,Samaritan Museum,Museum,Nablus,High,Family,Cultural,"The Samaritan Museum, near Nablus, showcases the history, religion, and traditions of the Samaritan community, one of the world's smallest and oldest religious minorities.",32.203624,35.270345,OpenStreetMap Photon,Matched,145,المتحف السامري,"يعرض المتحف السامري قرب نابلس تاريخ وديانة وتقاليد الطائفة السامرية، وهي من أصغر وأقدم الأقليات الدينية في العالم.","The Samaritan Museum, near Nablus, showcases the history, religion, and traditions of the Samaritan community, one of the world's smallest and oldest religious minorities."
85,Ein Qarioun (Spring),Nature & Trails,Nablus,Low,Youth,Adventure,"Ein Qarioun is a natural spring near Nablus, a local recreational spot.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,10,عين قاريون (نبع),"عين قاريون نبع طبيعي قرب نابلس، ومتنزه ترفيهي محلي.","Ein Qarioun is a natural spring near Nablus, a local recreational spot."
86,Sama Nablus Park,Nature & Trails,Nablus,Low,Family,Adventure,Sama Nablus Park is a recreational green space in Nablus popular with families.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,20,منتزه سما نابلس,منتزه سما نابلس مساحة خضراء ترفيهية في نابلس تحظى بشعبية لدى العائلات.,Sama Nablus Park is a recreational green space in Nablus popular with families.
87,Mount Gerizim and the Samaritan Sect.,Nature & Trails,Nablus,Low,Youth,Adventure,"Mount Gerizim, overlooking Nablus, is the holiest site of the Samaritan religion, home to the small remaining Samaritan community and the site of their annual Passover sacrifice.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,5,جبل جرزيم والطائفة السامرية,"جبل جرزيم المطل على نابلس أقدس موقع في الديانة السامرية، وموطن الجالية السامرية الصغيرة المتبقية وموقع ذبيحة الفصح السنوية لديهم.","Mount Gerizim, overlooking Nablus, is the holiest site of the Samaritan religion, home to the small remaining Samaritan community and the site of their annual Passover sacrifice."
88,Virgin Mary's Church (Mount Gerizim),Religious,Nablus,Low,All,Religious,The Virgin Mary's Church on Mount Gerizim is a Christian church associated with the mountain's religious significance.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,0,كنيسة السيدة العذراء (جبل جرزيم),كنيسة السيدة العذراء على جبل جرزيم كنيسة مسيحية ترتبط بالأهمية الدينية للجبل.,The Virgin Mary's Church on Mount Gerizim is a Christian church associated with the mountain's religious significance.
89,The Monastery of Bir El-Hamam,Religious,Nablus,Medium,All,Religious,"The Monastery of Bir El-Hamam, near Nablus, is a historic monastic site.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,40,دير بير الحمام,دير بير الحمام قرب نابلس موقع ديري تاريخي.,"The Monastery of Bir El-Hamam, near Nablus, is a historic monastic site."
90,Wadi Al-Tuffah (Apple Valley) and the Water Mills,Nature & Trails,Nablus,Low,Youth,Adventure,"Wadi Al-Tuffah (Apple Valley), near Nablus, is a scenic valley historically home to traditional water mills powered by natural springs.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,20,وادي التفاح والطواحين المائية,وادي التفاح قرب نابلس واد جميل كان تاريخياً موطناً لطواحين مائية تقليدية تعمل بقوة الينابيع الطبيعية.,"Wadi Al-Tuffah (Apple Valley), near Nablus, is a scenic valley historically home to traditional water mills powered by natural springs."
91,Rafidia Village,Historic Old City,Nablus,Low,Family,Cultural,Rafidia Village (now a Nablus neighborhood) retains historic character within the growing city.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,20,قرية رفيديا,تحتفظ قرية رفيديا (وهي الآن حي في نابلس) بطابعها التاريخي وسط توسع المدينة.,Rafidia Village (now a Nablus neighborhood) retains historic character within the growing city.
92,The Olive Press (Al-Bad) and the Dar Al Dawani,Historic Old City,Nablus,Low,All,Cultural,"The Olive Press (Al-Bad) and Dar Al-Dawani, in Nablus, are historic facilities reflecting the city's long-standing olive oil and soap-making industries.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,10,معصرة الزيتون (البدّ) ودار الدواني,معصرة الزيتون (البدّ) ودار الدواني في نابلس منشأتان تاريخيتان تعكسان صناعتي زيت الزيتون والصابون العريقتين في المدينة.,"The Olive Press (Al-Bad) and Dar Al-Dawani, in Nablus, are historic facilities reflecting the city's long-standing olive oil and soap-making industries."
93,Men Column Shrine in Nablus,Religious,Nablus,Medium,All,Religious,"The Men Column Shrine, in Nablus, is a local historic monument.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,55,مقام عمود الرجال في نابلس,مقام عمود الرجال في نابلس معلم تاريخي محلي.,"The Men Column Shrine, in Nablus, is a local historic monument."
94,The Eastern Roman Cemetery (The Askar Mausoleum),Archaeological,Nablus,Medium,Youth,Adventure,"The Eastern Roman Cemetery (Askar Mausoleum), near Nablus, contains ancient Roman-period burial remains.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,40,المقبرة الرومانية الشرقية (ضريح عسكر),تحتوي المقبرة الرومانية الشرقية (ضريح عسكر) قرب نابلس على بقايا دفن رومانية قديمة.,"The Eastern Roman Cemetery (Askar Mausoleum), near Nablus, contains ancient Roman-period burial remains."
95,The Shrine of Mujir Al-Din,Religious,Nablus,Medium,All,Religious,"The Shrine of Mujir Al-Din, in Nablus, honors the noted 15th-century historian and scholar of Jerusalem and Hebron.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,40,مقام مجير الدين,يكرّم مقام مجير الدين في نابلس المؤرخ والعالم البارز من القرن الخامس عشر في القدس والخليل.,"The Shrine of Mujir Al-Din, in Nablus, honors the noted 15th-century historian and scholar of Jerusalem and Hebron."
96,Tomb of Sheikh Ghanem (Gerizim),Religious,Nablus,Medium,All,Religious,"The Tomb of Sheikh Ghanem, on Mount Gerizim, is a local Islamic shrine.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,40,ضريح الشيخ غانم (جرزيم),ضريح الشيخ غانم على جبل جرزيم مقام إسلامي محلي.,"The Tomb of Sheikh Ghanem, on Mount Gerizim, is a local Islamic shrine."
97,Al-Saqaya Standpipe,Historic Old City,Nablus,Low,All,Cultural,"Al-Saqaya Standpipe, in Nablus's Old City, is a historic public water fountain.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,5,سبيل الساقية,سبيل الساقية في البلدة القديمة بنابلس نافورة مياه عامة تاريخية.,"Al-Saqaya Standpipe, in Nablus's Old City, is a historic public water fountain."
98,Braik Mill (Abdul Haqq Soap Factory),Historic Old City,Nablus,Medium,All,Cultural,"Braik Mill (Abdul Haqq Soap Factory), in Nablus, is a historic facility tied to the city's traditional olive-oil soap industry.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,45,طاحونة بريك (مصبنة عبد الحق),طاحونة بريك (مصبنة عبد الحق) في نابلس منشأة تاريخية مرتبطة بصناعة صابون زيت الزيتون في المدينة.,"Braik Mill (Abdul Haqq Soap Factory), in Nablus, is a historic facility tied to the city's traditional olive-oil soap industry."
99,Al-Tubani Corner (Al-Sheikh Nazmi Okal's Corner),Historic Old City,Nablus,Low,All,Cultural,"Al-Tubani Corner, in Nablus's Old City, is a historic architectural landmark associated with the Sheikh Nazmi Okal family.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,0,زاوية الطوباني (زاوية الشيخ نظمي عقل),زاوية الطوباني في البلدة القديمة بنابلس معلم معماري تاريخي مرتبط بعائلة الشيخ نظمي عقل.,"Al-Tubani Corner, in Nablus's Old City, is a historic architectural landmark associated with the Sheikh Nazmi Okal family."
100,Al-Satoun Mosque,Religious,Nablus,Medium,All,Religious,Al-Satoun Mosque is a historic mosque in Nablus's Old City.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,30,مسجد الساطون,مسجد الساطون مسجد تاريخي في البلدة القديمة بنابلس.,Al-Satoun Mosque is a historic mosque in Nablus's Old City.
101,Hosh Al-Atout (Quarter),Historic Old City,Nablus,Low,All,Cultural,"Hosh Al-Atout is a historic residential quarter within Nablus's Old City, characteristic of the city's traditional courtyard-house architecture.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,10,حوش العطعوط (الحي),"حوش العطعوط حي سكني تاريخي في البلدة القديمة بنابلس، يمثل عمارة البيوت ذات الحوش التقليدية في المدينة.","Hosh Al-Atout is a historic residential quarter within Nablus's Old City, characteristic of the city's traditional courtyard-house architecture."
102,The Western Hanbali Mosque,Religious,Nablus,Medium,All,Religious,The Western Hanbali Mosque is a historic mosque in Nablus associated with the Hanbali school of Islamic jurisprudence.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,20,المسجد الحنبلي الغربي,المسجد الحنبلي الغربي مسجد تاريخي في نابلس مرتبط بالمذهب الحنبلي في الفقه الإسلامي.,The Western Hanbali Mosque is a historic mosque in Nablus associated with the Hanbali school of Islamic jurisprudence.
103,Al-Nimr Palace,Historic Old City,Nablus,Medium,Family,Cultural,"Al-Nimr Palace, in Nablus, is a historic Ottoman-era residence built by the prominent al-Nimr family.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,25,قصر النمر,قصر النمر في نابلس مسكن تاريخي من العصر العثماني بنته عائلة النمر البارزة.,"Al-Nimr Palace, in Nablus, is a historic Ottoman-era residence built by the prominent al-Nimr family."
104,An-Najah Centenary Museum,Museum,Nablus,High,Family,Cultural,"The An-Najah Centenary Museum, at An-Najah National University, commemorates the institution's history and development.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,110,متحف النجاح المئوي,يُخلّد متحف النجاح المئوي في جامعة النجاح الوطنية تاريخ المؤسسة وتطورها.,"The An-Najah Centenary Museum, at An-Najah National University, commemorates the institution's history and development."
105,The Shrine of Sheikh Musallam,Religious,Nablus,Medium,All,Religious,The Shrine of Sheikh Musallam is a local Islamic shrine in Nablus.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,20,مقام الشيخ مسلّم,مقام الشيخ مسلّم مقام إسلامي محلي في نابلس.,The Shrine of Sheikh Musallam is a local Islamic shrine in Nablus.
106,Khan Al-Tujjar (Fabric Market),Historic Old City,Nablus,Medium,Youth,Cultural,Khan Al-Tujjar (Fabric Market) is a historic Ottoman-era commercial market in Nablus's Old City.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,45,خان التجار (سوق الأقمشة),خان التجار (سوق الأقمشة) سوق تجاري تاريخي من العصر العثماني في البلدة القديمة بنابلس.,Khan Al-Tujjar (Fabric Market) is a historic Ottoman-era commercial market in Nablus's Old City.
107,Touqan Palace,Historic Old City,Nablus,Medium,Family,Cultural,"Touqan Palace, in Nablus, is a historic Ottoman-era residence built by the prominent Touqan family, one of the city's leading notable families.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,45,قصر طوقان,"قصر طوقان في نابلس مسكن تاريخي من العصر العثماني بنته عائلة طوقان، إحدى أبرز عائلات المدينة الوجيهة.","Touqan Palace, in Nablus, is a historic Ottoman-era residence built by the prominent Touqan family, one of the city's leading notable families."
108,Hammam Al-Shifa (The new bathhouse),Historic Old City,Nablus,Medium,All,Cultural,Hammam Al-Shifa is a historic Ottoman-era bathhouse in Nablus's Old City.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,55,حمام الشفاء (الحمام الجديد),حمام الشفاء حمام تاريخي من العصر العثماني في البلدة القديمة بنابلس.,Hammam Al-Shifa is a historic Ottoman-era bathhouse in Nablus's Old City.
109,Al-Bader Soap Factory,Historic Old City,Nablus,Medium,All,Cultural,"The Al-Bader Soap Factory, in Nablus, is a historic olive-oil soap production facility, part of the city's centuries-old soap-making heritage.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,25,مصبنة البدر,"مصبنة البدر في نابلس منشأة تاريخية لإنتاج صابون زيت الزيتون، وجزء من تراث صناعة الصابون العريق في المدينة.","The Al-Bader Soap Factory, in Nablus, is a historic olive-oil soap production facility, part of the city's centuries-old soap-making heritage."
110,Rassassi Mosque and Al Mawardyah School,Religious,Jerusalem,Medium,All,Religious,Rassassi Mosque and Al-Mawardiyya School form a historic Islamic religious and educational complex within Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,20,المسجد الرصاصي ومدرسة الماوردية,يشكّل المسجد الرصاصي ومدرسة الماوردية مجمعاً دينياً وتعليمياً إسلامياً تاريخياً داخل البلدة القديمة في القدس.,Rassassi Mosque and Al-Mawardiyya School form a historic Islamic religious and educational complex within Jerusalem's Old City.
111,Al Khanaqah Al-Salahiyya,Historic Old City,Jerusalem,Low,All,Cultural,"Al-Khanaqah Al-Salahiyya is a Sufi lodge (khanqah) in Jerusalem's Old City, founded during the Ayyubid period associated with Salah al-Din.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,20,الخانقاه الصلاحية,"الخانقاه الصلاحية زاوية صوفية في البلدة القديمة بالقدس، أُسست في العهد الأيوبي وترتبط بصلاح الدين.","Al-Khanaqah Al-Salahiyya is a Sufi lodge (khanqah) in Jerusalem's Old City, founded during the Ayyubid period associated with Salah al-Din."
112,Maqam Sittunshuq,Religious,Jerusalem,Low,All,Religious,Maqam Sittunshuq is a small historic Islamic shrine (maqam) in Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0,مقام ست تنشق,مقام ست تنشق مقام إسلامي تاريخي صغير في البلدة القديمة بالقدس.,Maqam Sittunshuq is a small historic Islamic shrine (maqam) in Jerusalem's Old City.
113,Al Mujahid Badreddin Lulu Mosque,Religious,Jerusalem,Medium,All,Religious,"Al-Mujahid Badreddin Lulu Mosque is a historic mosque in Jerusalem's Old City, named after a Mamluk-era religious figure.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,55,مسجد المجاهد بدر الدين لؤلؤ,مسجد المجاهد بدر الدين لؤلؤ مسجد تاريخي في البلدة القديمة بالقدس سمي باسم شخصية دينية من العصر المملوكي.,"Al-Mujahid Badreddin Lulu Mosque is a historic mosque in Jerusalem's Old City, named after a Mamluk-era religious figure."
114,Red Minaret mosque,Religious,Jerusalem,Medium,All,Religious,The Red Minaret Mosque is named for its distinctively colored minaret within Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,30,المسجد ذو المئذنة الحمراء,سمي المسجد ذو المئذنة الحمراء بلونها المميز داخل البلدة القديمة بالقدس.,The Red Minaret Mosque is named for its distinctively colored minaret within Jerusalem's Old City.
115,Sultan Suliemam The Magnificent Sabil,Religious,Jerusalem,Low,All,Religious,"The Sabil of Sultan Suleiman the Magnificent is an Ottoman-era public drinking fountain in Jerusalem's Old City, part of a network of sabils built under Suleiman's patronage.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0,سبيل السلطان سليمان القانوني,"سبيل السلطان سليمان القانوني نافورة شرب عامة من العصر العثماني في البلدة القديمة بالقدس، جزء من شبكة أسبلة بُنيت برعاية السلطان سليمان.","The Sabil of Sultan Suleiman the Magnificent is an Ottoman-era public drinking fountain in Jerusalem's Old City, part of a network of sabils built under Suleiman's patronage."
116,Salman Alfarissi Mosque,Religious,Jerusalem,Medium,All,Religious,Salman Alfarissi Mosque is a historic mosque in Jerusalem's Old City named after a companion of the Prophet Muhammad.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,20,مسجد سلمان الفارسي,مسجد سلمان الفارسي مسجد تاريخي في البلدة القديمة بالقدس سمي باسم أحد صحابة النبي محمد.,Salman Alfarissi Mosque is a historic mosque in Jerusalem's Old City named after a companion of the Prophet Muhammad.
117,Waqf Azzawyah AlAfaghanya,Religious,Jerusalem,Low,All,Religious,"Waqf Azzawyah Al-Afghaniyya is a historic Islamic religious endowment (zawiya) site in Jerusalem's Old City, associated with Afghan Sufi tradition.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0,زاوية الأفغانية (الوقف),"زاوية الأفغانية موقع وقفي ديني إسلامي تاريخي في البلدة القديمة بالقدس، مرتبط بالتقليد الصوفي الأفغاني.","Waqf Azzawyah Al-Afghaniyya is a historic Islamic religious endowment (zawiya) site in Jerusalem's Old City, associated with Afghan Sufi tradition."
118,Maqam Khasky Sultan,Religious,Jerusalem,Low,All,Religious,"Maqam Khasky Sultan is a historic Islamic shrine in Jerusalem's Old City, associated with the Ottoman-era Khasseki Sultan complex.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0,مقام خاصكي سلطان,"مقام خاصكي سلطان مقام إسلامي تاريخي في البلدة القديمة بالقدس، مرتبط بمجمع الخاصكي سلطان العثماني.","Maqam Khasky Sultan is a historic Islamic shrine in Jerusalem's Old City, associated with the Ottoman-era Khasseki Sultan complex."
119,Khalidi Library Annex,Museum,Jerusalem,Medium,All,Cultural,"The Khalidi Library Annex is part of the historic Khalidi family library complex in Jerusalem's Old City, one of the oldest private manuscript libraries in Palestine.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,40,ملحق مكتبة الخالدية,"ملحق مكتبة الخالدية جزء من مجمع مكتبة عائلة الخالدي التاريخي في البلدة القديمة بالقدس، وهي من أقدم مكتبات المخطوطات الخاصة في فلسطين.","The Khalidi Library Annex is part of the historic Khalidi family library complex in Jerusalem's Old City, one of the oldest private manuscript libraries in Palestine."
120,Bab Al Silsila,Religious,Jerusalem,Low,All,Religious,Bab Al-Silsila (Gate of the Chain) is one of the historic gates leading into the Al-Aqsa Mosque compound in Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0,باب السلسلة,باب السلسلة أحد البوابات التاريخية المؤدية إلى ساحة المسجد الأقصى في البلدة القديمة بالقدس.,Bab Al-Silsila (Gate of the Chain) is one of the historic gates leading into the Al-Aqsa Mosque compound in Jerusalem's Old City.
121,Qubur Al Mujahideen,Religious,Jerusalem,Low,All,Religious,Qubur Al-Mujahideen refers to historic graves of religious fighters (mujahideen) within Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0,قبور المجاهدين,تشير قبور المجاهدين إلى مقابر تاريخية للمقاتلين الدينيين داخل البلدة القديمة بالقدس.,Qubur Al-Mujahideen refers to historic graves of religious fighters (mujahideen) within Jerusalem's Old City.
122,Masjid Alsu'oud,Religious,Jerusalem,Low,All,Religious,Masjid Alsu'oud is a historic mosque within Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0,مسجد السعود,مسجد السعود مسجد تاريخي داخل البلدة القديمة بالقدس.,Masjid Alsu'oud is a historic mosque within Jerusalem's Old City.
123,Nabi Samuel. Ghneim mosque,Religious,Jerusalem,Medium,All,Religious,The Nabi Samuel / Ghneim Mosque is associated with the shrine tradition of the Prophet Samuel near Jerusalem.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,20,النبي صموئيل - مسجد غنيم,يرتبط مسجد النبي صموئيل / غنيم بتقليد مقام النبي صموئيل قرب القدس.,The Nabi Samuel / Ghneim Mosque is associated with the shrine tradition of the Prophet Samuel near Jerusalem.
