ID,Place_Name,type,City,Budget_Level,Age_Group,Trip_Type,Description,Latitude,Longitude,Coordinate_Source,Geocode_Status,Estimated_Cost_ILS
113,Al Mujahid Badreddin Lulu Mosque,Religious,Jerusalem,Medium,All,Religious,"Al-Mujahid Badreddin Lulu Mosque is a historic mosque in Jerusalem's Old City, named after a Mamluk-era religious figure.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,55
114,Red Minaret mosque,Religious,Jerusalem,Medium,All,Religious,The Red Minaret Mosque is named for its distinctively colored minaret within Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,30
115,Sultan Suliemam The Magnificent Sabil,Religious,Jerusalem,Low,All,Religious,"The Sabil of Sultan Suleiman the Magnificent is an Ottoman-era public drinking fountain in Jerusalem's Old City, part of a network of sabils built under Suleiman's patronage.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
116,Salman Alfarissi Mosque,Religious,Jerusalem,Medium,All,Religious,Salman Alfarissi Mosque is a historic mosque in Jerusalem's Old City named after a companion of the Prophet Muhammad.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,20
117,Waqf Azzawyah AlAfaghanya,Religious,Jerusalem,Low,All,Religious,"Waqf Azzawyah Al-Afghaniyya is a historic Islamic religious endowment (zawiya) site in Jerusalem's Old City, associated with Afghan Sufi tradition.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
118,Maqam Khasky Sultan,Religious,Jerusalem,Low,All,Religious,"Maqam Khasky Sultan is a historic Islamic shrine in Jerusalem's Old City, associated with the Ottoman-era Khasseki Sultan complex.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
119,Khalidi Library Annex,Museum,Jerusalem,Medium,All,Cultural,"The Khalidi Library Annex is part of the historic Khalidi family library complex in Jerusalem's Old City, one of the oldest private manuscript libraries in Palestine.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,40
120,Bab Al Silsila,Religious,Jerusalem,Low,All,Religious,Bab Al-Silsila (Gate of the Chain) is one of the historic gates leading into the Al-Aqsa Mosque compound in Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
121,Qubur Al Mujahideen,Religious,Jerusalem,Low,All,Religious,Qubur Al-Mujahideen refers to historic graves of religious fighters (mujahideen) within Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
122,Masjid Alsu'oud,Religious,Jerusalem,Low,All,Religious,Masjid Alsu'oud is a historic mosque within Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
123,Nabi Samuel. Ghneim mosque,Religious,Jerusalem,Medium,All,Religious,The Nabi Samuel / Ghneim Mosque is associated with the shrine tradition of the Prophet Samuel near Jerusalem.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,20
124,Artughrul the 3rd School,Historic Old City,Jerusalem,Low,All,Cultural,Artughrul the 3rd School is a historic Islamic educational institution (madrasa) in Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,15
125,Mosque of Omar,Religious,Jerusalem,Medium,All,Religious,"The Mosque of Omar, near the Church of the Holy Sepulchre, commemorates the Caliph Omar Ibn al-Khattab's historic entry into Jerusalem in 637 CE.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,50
126,Waly Allah Sidi Mohammad Al Qirami,Religious,Jerusalem,Low,All,Religious,The shrine (waly) of Sidi Mohammad Al-Qirami is a historic Islamic sanctuary in Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
127,Nakshbandi sufi Order,Religious,Jerusalem,Low,All,Religious,The Naqshbandi Sufi Order maintains a historic religious presence and lodge within Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
128,Al Jannat Mosque,Religious,Jerusalem,Medium,All,Religious,Al-Jannat Mosque is a historic mosque within Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,40
129,Al Aqsa Mosque,Religious,Jerusalem,Medium,All,Religious,"Al-Aqsa Mosque, within the Haram al-Sharif compound in Jerusalem's Old City, is the third holiest site in Islam and a central place of worship and pilgrimage.",32.325605,35.025518,OpenStreetMap Photon,Matched,50
130,Maqam Rabaa Al Adawyah,Religious,Jerusalem,Low,All,Religious,Maqam Rabaa Al-Adawiyah is a shrine associated with the revered early Islamic mystic and poet Rabia al-Adawiyya.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
131,Tomb of Scientist Al Sheikh Abdul Rahman Mojeer Iddin Alhanbali Al Alami grandson of Caliph Omar Ibn Alkhattab,Religious,Jerusalem,Medium,All,Religious,"This tomb in Jerusalem's Old City belongs to the scholar Sheikh Abdul Rahman Mujir al-Din al-Hanbali al-Alami, a noted 15th-century historian of Jerusalem and descendant of Caliph Omar Ibn al-Khattab.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,50
132,Maqam Bayram Gaweish and Library,Religious,Jerusalem,Medium,All,Religious,Maqam Bayram Gaweish and its associated library form a historic Islamic religious site in Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,55
133,Al Madrasa Al Tankazyah,Religious,Jerusalem,Low,All,Religious,"Al-Madrasa Al-Tankaziyya is a Mamluk-era Islamic school in Jerusalem's Old City, founded by the governor Tankiz al-Nasiri in the 14th century.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
134,Maqam Ala'a Al Busairi,Religious,Jerusalem,Low,All,Religious,"Maqam Ala'a Al-Busairi is a shrine associated with the Islamic scholar and poet Al-Busiri, known for his famous poem in praise of the Prophet Muhammad.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
135,Maqam Tankaz,Religious,Jerusalem,Low,All,Religious,Maqam Tankaz is a historic shrine associated with the Mamluk governor Tankiz al-Nasiri in Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
136,Sheikh Makky Mosque,Religious,Jerusalem,Medium,All,Religious,Sheikh Makky Mosque is a historic mosque within Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,50
137,Khan Tankaz,Historic Old City,Jerusalem,Low,All,Cultural,"Khan Tankaz is a Mamluk-era caravanserai (khan) in Jerusalem's Old City, built under the patronage of governor Tankiz al-Nasiri.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,5
138,Al Ghawanema sufi Order,Religious,Jerusalem,Low,All,Religious,The Al-Ghawanema Sufi Order maintains a historic religious presence near the northern gate of the Al-Aqsa Mosque compound bearing the same name.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
139,The Islamic Supreme Committee/ Al Tashtamutya School,Historic Old City,Jerusalem,Low,All,Cultural,The Islamic Supreme Committee / Al-Tashtamuriyya School is a historic Mamluk-era Islamic institution in Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,5
140,Industrial Islamic Orphanage School,Historic Old City,Jerusalem,Low,All,Cultural,The Industrial Islamic Orphanage School is a historic educational institution in Jerusalem's Old City that combined religious education with vocational training.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,10
141,Indian Hospice,Religious,Jerusalem,Low,All,Religious,"The Indian Hospice, in Jerusalem's Old City, is a historic guesthouse for Muslim pilgrims, especially from South Asia, run under a Sufi endowment since the 16th century.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
142,Sittunshu Palace,Historic Old City,Jerusalem,Medium,Family,Cultural,Sittunshu Palace is a historic residence in Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,40
143,Khalidi Library,Museum,Jerusalem,Medium,All,Cultural,"The Khalidi Library, in Jerusalem's Old City, is one of the oldest and most significant private manuscript collections in Palestine, housing thousands of historic Islamic texts.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,55
144,Masjid Othman,Religious,Jerusalem,Low,All,Religious,Masjid Othman is a historic mosque within Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
145,St. Anne's Basilica & pool of Bethesda,Religious,Jerusalem,Medium,All,Religious,"St. Anne's Basilica is a well-preserved Crusader-era church in Jerusalem's Old City, built near the Pool of Bethesda and traditionally venerated as the birthplace of the Virgin Mary; it is known for its exceptional natural acoustics.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,55
146,The Church of Bethphage,Religious,Jerusalem,Medium,All,Religious,"The Church of Bethphage, run by the Franciscans, sits on the Mount of Olives and marks the traditional starting point of Jesus's Palm Sunday procession into Jerusalem.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,45
147,Augusta Victoria compound,Religious,Jerusalem,Low,All,Religious,"Augusta Victoria is a German-built hospice and hospital compound on the Mount of Olives, opened in 1910 and later converted into a hospital that continues to serve Palestinian patients.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
148,Mount Zion Cemetery (Catholic),Nature & Trails,Jerusalem,Low,Youth,Adventure,"Mount Zion Cemetery is a Catholic burial ground on Mount Zion just outside Jerusalem's Old City, containing the graves of clergy and members of the local Christian community.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,20
149,Cenacolino (Franciscan cenacle convent),Religious,Jerusalem,Low,All,Religious,"Cenacolino is a small Franciscan convent on Mount Zion, located near the traditional site of the Last Supper.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
150,The Chapel of Ascension (Mosque site too),Religious,Jerusalem,Medium,All,Religious,The Chapel of the Ascension on the Mount of Olives marks the spot traditionally associated with Jesus's ascension into heaven; the site is shared with a small mosque and venerated by both Christians and Muslims.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,55
151,Austrian Hospice,Religious,Jerusalem,Low,All,Religious,"The Austrian Hospice is a 19th-century pilgrim guesthouse on the Via Dolorosa in Jerusalem's Old City, still operating today as a guesthouse with a café and rooftop terrace overlooking the Old City.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
152,The Cenacle (Supper Room),Religious,Jerusalem,Low,All,Religious,"The Cenacle, or Upper Room, on Mount Zion is traditionally identified as the site of the Last Supper.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
153,Eleonsky Ascension Monastery,Religious,Jerusalem,Medium,All,Religious,"The Eleonsky (Russian) Ascension Monastery on the Mount of Olives is a Russian Orthodox convent known for its tall bell tower, popularly called the 'Russian Candle,' one of the highest points in Jerusalem.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,50
154,The Holy Cross Monastery,Religious,Jerusalem,Medium,All,Religious,"The Holy Cross Monastery is a Georgian Orthodox monastery in Jerusalem, traditionally built on the site where the tree used to make the crucifixion cross was said to have grown.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,30
155,Holy Monastery Of The Ascension,Religious,Jerusalem,Medium,All,Religious,"The Holy Monastery of the Ascension is a Greek Orthodox monastic complex on the Mount of Olives, near the traditional site of Jesus's ascension.",31.779238,35.244222,OpenStreetMap Photon,Matched,45
156,Christ Church,Religious,Jerusalem,Medium,All,Religious,"Christ Church, near Jaffa Gate in the Old City, is the oldest Protestant church in the Middle East, consecrated in 1849 and still holding services today.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,30
157,Christian Information Center,Religious,Jerusalem,Low,All,Religious,"The Christian Information Center, located near Jaffa Gate, provides visitor guidance, maps, and resources for pilgrims and tourists exploring Jerusalem's Christian holy sites.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
158,Latin Patriarchate,Religious,Jerusalem,Low,All,Religious,"The Latin Patriarchate is the seat of the Roman Catholic Latin Patriarchate of Jerusalem, located near the Church of the Holy Sepulchre in the Old City.",31.714254,35.18806,OpenStreetMap Photon,Matched,0
159,Dormition Abbey,Religious,Jerusalem,Low,All,Religious,"Dormition Abbey is a German Benedictine abbey on Mount Zion, traditionally marking the site where the Virgin Mary fell into 'eternal sleep,' notable for its distinctive conical roof and bell tower.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
160,St. Peter in Gallicantu,Religious,Jerusalem,Low,All,Religious,"St. Peter in Gallicantu is a church on Mount Zion built over a site traditionally associated with Peter's denial of Jesus, including an ancient pit believed to have been used as a holding cell.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
161,St. Stephan's church,Religious,Jerusalem,Medium,All,Religious,"St. Stephen's Church, near Damascus Gate, stands at the traditional site associated with the martyrdom of St. Stephen and is linked to the nearby École Biblique.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,35
162,St. Thomas Church,Religious,Jerusalem,Medium,All,Religious,St. Thomas Church is an Armenian church located within Jerusalem's Old City.,31.784868,35.228567,OpenStreetMap Photon,Matched,30
163,Dominos Flevit,Religious,Jerusalem,Low,All,Religious,"Dominus Flevit is a Franciscan chapel on the Mount of Olives, built in the shape of a teardrop to mark the spot where Jesus is said to have wept over Jerusalem.",31.777985,35.241912,OpenStreetMap Photon,Matched,0
164,Ecce Homo ( Lithostrotos and Basilica),Religious,Jerusalem,Medium,All,Religious,Ecce Homo (Lithostrotos and Basilica) is a convent and church on the Via Dolorosa built over ancient paving stones traditionally associated with Pilate's judgment of Jesus.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,20
165,Cathedral of the Annunciation of the Virgin,Religious,Jerusalem,Low,All,Religious,This cathedral in Jerusalem's Old City is associated with the Annunciation tradition and serves the local Christian community; visitors should verify current denominational affiliation and opening hours locally.,31.77737,35.228349,OpenStreetMap Photon,Matched,0
166,Flagelation Monastery,Religious,Jerusalem,Medium,All,Religious,"The Flagellation Monastery, run by the Franciscans on the Via Dolorosa, marks the traditional site where Jesus was flogged before his crucifixion and houses an archaeological museum.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,25
167,The Garden Tomb,Religious,Jerusalem,Medium,All,Religious,"The Garden Tomb, near Damascus Gate, is a rock-cut tomb set in a garden that many Protestant visitors regard as a possible alternative site to the Church of the Holy Sepulchre for Jesus's burial and resurrection.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,20
168,Franciscan bookshop,Religious,Jerusalem,Low,All,Religious,"The Franciscan bookshop, run by the Custody of the Holy Land, sells religious literature, guides, and souvenirs near Jerusalem's Old City.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
169,Sixth station (Veronica),Religious,Jerusalem,Low,All,Religious,The Sixth Station of the Via Dolorosa traditionally marks the spot where Veronica is said to have wiped Jesus's face with her veil.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
170,Greek Orthodox Patriarchate Jerusalem,Religious,Jerusalem,Low,All,Religious,"The Greek Orthodox Patriarchate of Jerusalem is one of the oldest Christian institutions in the Old City, overseeing numerous churches and holy sites across the region.",31.778225,35.227875,OpenStreetMap Photon,Matched,0
171,The Church of The Holy Sepulchre,Religious,Jerusalem,Medium,All,Religious,"The Church of the Holy Sepulchre is among the holiest sites in Christianity, traditionally believed to encompass both Golgotha, where Jesus was crucified, and the tomb from which he is said to have risen; it is shared by several Christian denominations.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,40
172,Gethsemane Basilica (church of all nations),Religious,Jerusalem,Medium,All,Religious,"The Basilica of the Agony (Church of All Nations), run by the Franciscans at the foot of the Mount of Olives, is built over the rock where Jesus is said to have prayed the night before his arrest.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,45
173,Gethsemane Grotto,Religious,Jerusalem,Low,All,Religious,The Gethsemane Grotto is a cave near the Garden of Gethsemane traditionally associated with Jesus's arrest.,31.780162,35.239813,OpenStreetMap Photon,Matched,0
174,Pater Nostre (Eleona),Religious,Jerusalem,Low,All,Religious,The Pater Noster Church (Eleona) on the Mount of Olives traditionally marks the spot where Jesus taught the Lord's Prayer; its cloister walls are covered with ceramic tile versions of the prayer in over 100 languages.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
175,St. Lazarus Church and Tomb,Religious,Jerusalem,Medium,All,Religious,"St. Lazarus Church and Tomb, in the town of al-Eizariya (biblical Bethany), stands at the traditional tomb of Lazarus, said to have been raised from the dead by Jesus.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,40
176,Museum Terra Sancta,Museum,Jerusalem,High,Family,Cultural,"Terra Sancta Museum, run by the Franciscans, showcases archaeology and the history of Christian presence in the Holy Land.",31.78058,35.234068,OpenStreetMap Photon,Matched,105
177,Lutheran Church of the Redeemer,Religious,Jerusalem,Medium,All,Religious,"The Lutheran Church of the Redeemer in the Old City is known for its bell tower, which visitors can climb for panoramic views over Jerusalem's rooftops.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,30
178,St. John the Baptist Monastery,Religious,Jerusalem,Medium,All,Religious,St. John the Baptist Monastery (also known by its Arabic and Greek names) is a Greek Orthodox monastic site in the Jerusalem area associated with the veneration of St. John the Baptist.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,50
179,St. Charalambos Monastery,Religious,Jerusalem,Medium,All,Religious,St. Charalambos Monastery is a small Greek Orthodox monastic site in the Jerusalem area.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,45
180,St. Catherine Monastery,Religious,Jerusalem,Medium,All,Religious,St. Catherine Monastery (Jerusalem) is a small Greek Orthodox monastic site distinct from the famous Sinai monastery of the same name.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,40
181,Our Lady of Sorrows Armenian Catholic Church,Religious,Jerusalem,Medium,All,Religious,Our Lady of Sorrows Armenian Catholic Church serves Jerusalem's Armenian Catholic community.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,45
182,St. George's Cathedral ( the Martyr),Religious,Jerusalem,Low,All,Religious,"St. George's Cathedral (the Martyr) is an Anglican cathedral complex in East Jerusalem, seat of the Anglican Diocese of Jerusalem.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
183,St. SAVIOUR MONASTERY,Religious,Jerusalem,Medium,All,Religious,"St. Saviour's Monastery is the main Franciscan monastery in Jerusalem's Old City, seat of the Custody of the Holy Land.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,55
184,Emmaus - qubeibeh village,Religious,Jerusalem,Low,Family,Religious,"Emmaus (Qubeibeh village) is one of several sites traditionally identified with the biblical village of Emmaus, where the resurrected Jesus is said to have appeared to two disciples.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
185,Galilea Minor Monastery on Mount of Olives,Religious,Jerusalem,Low,All,Religious,Galilea Minor Monastery on the Mount of Olives is a small Greek Orthodox monastic site.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
186,St Stephan Monastery,Religious,Jerusalem,Medium,All,Religious,"St. Stephen's Monastery is a small Greek Orthodox monastic site in the Jerusalem area, distinct from the Via Dolorosa station of the same saint.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,50
187,3rd station Via Dolorosa,Religious,Jerusalem,Low,All,Religious,The Third Station of the Via Dolorosa marks the traditional spot of Jesus's first fall while carrying the cross.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
188,4th Station Via Dolorosa,Religious,Jerusalem,Low,All,Religious,"The Fourth Station of the Via Dolorosa marks the traditional spot where Jesus is said to have met his mother, Mary.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
189,5th station Via Dolorosa,Religious,Jerusalem,Low,All,Religious,The Fifth Station of the Via Dolorosa marks where Simon of Cyrene is said to have been compelled to help carry Jesus's cross.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
190,6th station Via Dolorosa,Religious,Jerusalem,Low,All,Religious,The Sixth Station of the Via Dolorosa is associated with Veronica wiping Jesus's face.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
191,7th Station Via Dolorosa,Religious,Jerusalem,Low,All,Religious,"The Seventh Station of the Via Dolorosa marks Jesus's second fall, near what was once the city gate leading out of the Old City.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
192,8th station Via Dolorosa,Religious,Jerusalem,Low,All,Religious,The Eighth Station of the Via Dolorosa marks where Jesus is said to have spoken to the women of Jerusalem.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
193,9th station Via Dolorosa,Religious,Jerusalem,Low,All,Religious,"The Ninth Station of the Via Dolorosa marks Jesus's third fall, near the entrance to the Ethiopian and Coptic monasteries adjoining the Holy Sepulchre.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
194,Tomb of Mary,Religious,Jerusalem,Medium,All,Religious,"The Tomb of Mary, in the Kidron Valley below the Mount of Olives, is a Greek Orthodox and Armenian shrine traditionally venerated as the burial place of the Virgin Mary.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,55
195,St. Mary Magdalene Monastery,Religious,Jerusalem,Medium,All,Religious,"St. Mary Magdalene Monastery, with its distinctive golden onion domes, is a Russian Orthodox convent on the Mount of Olives overlooking Jerusalem's Old City.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,30
196,St. Theodore Monastery,Religious,Jerusalem,Medium,All,Religious,St. Theodore Monastery is a small Greek Orthodox monastic site in the Jerusalem area.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,50
197,St. Georgios Monastery,Religious,Jerusalem,Medium,All,Religious,St. Georgios Monastery is a small Greek Orthodox monastic site in the Jerusalem area.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,35
198,St. Vasileos Monastery,Religious,Jerusalem,Medium,All,Religious,St. Vasileos Monastery is a small Greek Orthodox monastic site in the Jerusalem area.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,25
199,Mar Elias Monastery,Religious,Bethlehem,Low,All,Religious,A monastery near Al-Khader associated with the prophet Elijah and a familiar landmark on the Bethlehem–Hebron road.,31.702327,35.187644,OpenStreetMap Photon (city centroid fallback),City-level,0
200,St. Efthimios Monastery,Religious,Jerusalem,Medium,All,Religious,"St. Efthimios Monastery is a Greek Orthodox monastic site associated with St. Euthymius, a prominent figure in early monasticism in the Judean Desert.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,45
201,St. Michael Monastery,Religious,Jerusalem,Medium,All,Religious,St. Michael Monastery is a small Greek Orthodox monastic site in the Jerusalem area.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,20
202,St. Nicholas Monastery,Religious,Jerusalem,Medium,All,Religious,St. Nicholas Monastery is a small Greek Orthodox monastic site in the Jerusalem area.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,40
203,St. Dimitrios Monastery,Religious,Jerusalem,Medium,All,Religious,St. Dimitrios Monastery is a small Greek Orthodox monastic site in the Jerusalem area.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,25
204,Museum of the Greek Orthodox Patriarchate,Museum,Jerusalem,High,Family,Cultural,"The Museum of the Greek Orthodox Patriarchate displays religious artifacts, manuscripts, and vestments related to the Patriarchate's long history in Jerusalem.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,105
205,St. Sednaya Monastery,Religious,Jerusalem,Medium,All,Religious,St. Sednaya Monastery is a Greek Orthodox monastic site linked in tradition to the well-known Convent of Our Lady of Saidnaya in Syria.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,20
206,St. Katherina Monastery,Religious,Jerusalem,Medium,All,Religious,St. Katherina Monastery (Jerusalem) is a small Greek Orthodox monastic site.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,40
207,St. Thekla Monastery,Religious,Jerusalem,Medium,All,Religious,St. Thekla Monastery is a small Greek Orthodox monastic site associated with the early Christian saint Thecla.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,25
208,St. Simeon Monastery,Religious,Jerusalem,Medium,All,Religious,"St. Simeon Monastery, in Jerusalem's Katamon neighborhood, is a Greek Orthodox monastery associated with the biblical figure Simeon.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,50
209,Gornensky convent,Religious,Jerusalem,Low,All,Religious,"Gornensky Convent is a Russian Orthodox convent in the Ein Karem area of Jerusalem, traditionally associated with the visitation of Mary to Elizabeth.",31.763259,35.158191,OpenStreetMap Photon,Matched,0
210,Mary's Spring,Nature & Trails,Jerusalem,Low,Youth,Adventure,"Mary's Spring, in the Ein Karem neighborhood, is traditionally associated with the biblical Visitation of Mary to her cousin Elizabeth.",31.780426,35.239656,OpenStreetMap Photon,Matched,10
211,Cathedral os St. Jacob Brother of God,Religious,Jerusalem,Low,All,Religious,"The Cathedral of St. James, Brother of God, is a small chapel or cathedral site associated with the tradition of James in the Jerusalem Christian community.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
212,Old City Wall - Jaffa Gate to Damascus Gate,Historic Old City,Jerusalem,Low,All,Cultural,"This stretch of Jerusalem's Old City wall runs from Jaffa Gate to Damascus Gate, part of the 16th-century Ottoman fortifications built under Suleiman the Magnificent, walkable via the Ramparts Walk.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
213,Hisham's Palace,Historic Old City,Jericho,Medium,All,Cultural,"The Umayyad palace complex is famous for its monumental ruins, bathhouse, and detailed mosaic floors.",31.881918,35.460434,OpenStreetMap Photon,Matched,55
214,Wadi al-Quff Nature Reserve,Nature & Trails,Hebron,Low,Youth,Adventure,"A wooded nature area west of Hebron offering walking routes, shaded valleys, and a change from the dense urban old city.",31.533628,35.097976,OpenStreetMap Photon (city centroid fallback),City-level,0
215,Wadi Qelt Reserve Trail,Nature & Trails,Jericho,Medium,Youth,Adventure,"A marked trail through a dramatic desert valley with springs, cliffs, and historic paths.",31.859361,35.459795,OpenStreetMap Photon (city centroid fallback),City-level,25
216,Mar Saba Trail,Nature & Trails,Bethlehem,Medium,Youth,Adventure,A rugged hiking route through the Kidron Valley with views of the cliffside monastery and surrounding desert hills.,31.702327,35.187644,OpenStreetMap Photon (city centroid fallback),City-level,40
217,Wadi al-Makhrour-Battir Trail,Nature & Trails,Bethlehem,Low,Youth,Adventure,"A rural trail through terraced landscapes, olive groves, and traditional agricultural scenery near Battir.",31.702327,35.187644,OpenStreetMap Photon (city centroid fallback),City-level,20
218,Ein Samiya-Al-Auja Reserve Trail,Nature & Trails,Jericho,Low,Youth,Adventure,A long-distance nature route linking spring-fed landscapes and open valleys in the Jordan Valley region.,31.859361,35.459795,OpenStreetMap Photon (city centroid fallback),City-level,15
219,Wadi Qana Reserve Trail,Nature & Trails,Ramallah,Low,Youth,Adventure,"A scenic valley trail with springs, rocky slopes, and cultivated terraces suited to hiking and landscape photography.",31.898619,35.178064,OpenStreetMap Photon (city centroid fallback),City-level,0
220,Beitillu Wadi Jannata Reserve Trail,Nature & Trails,Ramallah,Low,Youth,Adventure,A rural reserve trail through valleys and olive landscapes northwest of Ramallah.,31.898619,35.178064,OpenStreetMap Photon (city centroid fallback),City-level,20
221,Wadi Zarqa Elwi Reserve Trail,Nature & Trails,Ramallah,Low,Youth,Adventure,A countryside hiking route through a valley landscape with seasonal vegetation and panoramic hill views.,31.898619,35.178064,OpenStreetMap Photon (city centroid fallback),City-level,10
